site_id,location,train_samples,test_samples
2000,WARRIGAL_RD N of TOORAK_RD,7652,3280
2200,UNION_RD N of MAROONDAH_HWY,8324,3568
2820,EARL_ST SE of PRINCESS_ST,4090,1754
2825,BURKE_RD S of EASTERN_FWY,2074,890
2827,BULLEEN_RD N of THOMPSONS_RD,8324,3568
3002,DENMARK_ST N of BARKERS_RD,6980,2992
3120,BURKE_RD N of CANTERBURY_RD,8324,3568
3127,BALWYN_RD N of CANTERBURY_RD,5233,2243
3180,DONCASTER_RD E of BALWYN_RD,6241,2675
3662,PRINCESS_ST N of HIGH_ST,8324,3568
3682,WARRIGAL_RD N OF RIVERSDALE_RD,7786,3338
4032,BURKE_RD N of HARP_RD,8324,3568
4043,BURKE_RD N of TOORAK_RD,8324,3568
4051,DONCASTER_RD E of BULLEEN_RD,6241,2675
4057,BALWYN_RD N OF BELMORE_RD,8189,3511
4262,BRIDGE_RD SW of BURWOOD_RD,1738,746
4263,POWER_ST N of BURWOOD_RD,6980,2992
4266,AUBURN_RD N of BURWOOD_RD,8324,3568
4270,GLENFERRIE_RD N of RIVERSDALE_RD,8324,3568
4321,HIGH_ST NE OF HARP_ST,8324,3568
4324,COTHAM_RD E OF GLENFERRIE_RD,6241,2675
4335,HIGH_ST NE of CHARLES_ST,4158,1782
